Trip ID,Pickup Date,Pickup Hour,Vehicle,Payment_type,No Of Passengers,Trip Distance,Booking Value,Pickup Location,Total Bookings
1,2024-06-01 00:00:00,1899-12-30 00:42:50,UberX,Uber Pay,1,5.6,$21.5,East Village,1.0
10,2024-06-01 00:00:00,1899-12-30 00:54:40,UberX,Uber Pay,2,1.9,$11.6,Lenox Hill East,1.0
28,2024-06-01 00:00:00,1899-12-30 00:42:11,UberX,Uber Pay,1,8.18,$33.2,Kips Bay,1.0
33,2024-06-01 00:00:00,1899-12-30 01:23:40,UberX,Uber Pay,1,7.5,$22.5,Manhattan Valley,1.0
36,2024-06-01 00:00:00,1899-12-30 01:13:35,UberX,Uber Pay,1,5.3,$18.0,Midtown Center,1.0
40,2024-06-01 00:00:00,1899-12-30 01:05:57,UberX,Uber Pay,1,4.3,$17.0,Murray Hill,1.0
54,2024-06-01 00:00:00,1899-12-30 01:19:28,UberX,Uber Pay,1,4.95,$21.0,Times Sq/Theatre District,1.0
57,2024-06-01 00:00:00,1899-12-30 01:47:02,UberX,Uber Pay,1,2.6,$16.4,Garment District,1.0
58,2024-06-01 00:00:00,1899-12-30 01:13:13,UberX,Uber Pay,4,3.27,$15.2,Lower East Side,1.0
73,2024-06-01 00:00:00,1899-12-30 02:01:56,UberX,Uber Pay,2,2.3,$10.5,Yorkville West,1.0
75,2024-06-01 00:00:00,1899-12-30 03:56:24,UberX,Uber Pay,1,9.4,$27.0,East Harlem North,1.0
91,2024-06-01 00:00:00,1899-12-30 04:38:47,UberX,Uber Pay,1,4.2,$15.0,Upper West Side North,1.0
96,2024-06-01 00:00:00,1899-12-30 04:11:28,UberX,Uber Pay,1,10.83,$31.0,Kips Bay,1.0
100,2024-06-01 00:00:00,1899-12-30 05:32:11,UberX,Uber Pay,1,2.52,$13.4,Midtown South,1.0
102,2024-06-01 00:00:00,1899-12-30 05:30:16,UberX,Uber Pay,2,1.65,$9.8,Penn Station/Madison Sq West,1.0
107,2024-06-01 00:00:00,1899-12-30 05:46:24,UberX,Uber Pay,1,1.62,$9.2,Lincoln Square East,1.0
